	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..PEG	1498650620.287	143	228	nan	nan	nan	1498650622.777	588	931
1	..PEG	1498650620.320	139	229	nan	nan	nan	1498650622.789	595	931
2	..PEG	1498650620.354	145	237	nan	nan	nan	1498650622.81	595	931
3	..PEG	1498650620.387	139	239	nan	nan	nan	1498650622.83	595	931
4	..PEG	1498650620.421	141	233	nan	nan	nan	1498650622.85	595	931
5	..PEG	1498650620.454	137	235	nan	nan	nan	1498650622.871	595	931
6	..PEG	1498650620.487	145	216	nan	nan	nan	1498650622.893	595	931
7	..PEG	1498650620.520	150	254	nan	nan	nan	1498650622.913	595	931
8	..PEG	1498650620.554	266	377	nan	nan	nan	1498650622.934	595	931
9	..PEG	1498650620.587	401	473	nan	nan	nan	1498650622.956	595	931
10	..PEG	1498650620.620	430	504	nan	nan	nan	1498650622.976	595	931
11	..PEG	1498650620.654	432	497	nan	nan	nan	1498650622.996	595	931
12	..PEG	1498650620.687	432	499	nan	nan	nan	1498650623.016	595	931
13	..PEG	1498650620.720	436	511	nan	nan	nan	1498650623.037	595	931
14	..PEG	1498650620.753	791	519	nan	nan	nan	1498650623.058	595	931
15	..PEG	1498650620.787	790	530	nan	nan	nan	1498650623.079	595	931
16	..PEG	1498650620.820	795	522	nan	nan	nan	1498650623.103	595	931
17	..PEG	1498650620.853	795	526	nan	nan	nan	1498650623.13	595	931
18	..PEG	1498650620.887	793	516	nan	nan	nan	1498650623.144	595	931
19	..PEG	1498650620.920	792	514	nan	nan	nan	1498650623.165	595	931
20	..PEG	1498650620.953	782	479	nan	nan	nan	1498650623.185	595	931
21	..PEG	1498650620.987	798	511	nan	nan	nan	1498650623.207	595	931
22	..PEG	1498650621.020	799	486	nan	nan	nan	1498650623.228	595	931
23	..PEG	1498650621.053	734	498	nan	nan	nan	1498650623.248	595	931
24	.F...	1498650621.086			nan	nan	nan	1498650623.269	595	931
25	..PEG	1498650621.120	623	497	nan	nan	nan	1498650623.29	595	931
26	..PEG	1498650621.153	625	495	nan	nan	nan	1498650623.311	595	931
27	..PEG	1498650621.186	643	490	nan	nan	nan	1498650623.331	595	931
28	..PEG	1498650621.219	623	479	nan	nan	nan	1498650623.351	595	931
