	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..PEG	1499343472.743	605	531	nan	nan	nan	1499343472.748	55	931
1	..PEG	1499343472.776	610	548	nan	nan	nan	1499343472.807	607	931
2	..PEG	1499343472.810	607	559	nan	nan	nan	1499343472.809	607	931
3	..PEG	1499343472.843	605	545	nan	nan	nan	1499343472.842	607	931
4	..PEG	1499343472.876	609	551	nan	nan	nan	1499343472.876	607	931
5	..PEG	1499343472.910	598	538	nan	nan	nan	1499343472.911	607	931
6	..PEG	1499343472.943	606	553	nan	nan	nan	1499343472.945	607	931
7	..PEG	1499343472.976	597	557	nan	nan	nan	1499343472.979	607	931
8	..PEG	1499343473.009	595	534	nan	nan	nan	1499343473.013	607	931
9	..PEG	1499343473.043	584	545	nan	nan	nan	1499343473.046	607	931
10	..PEG	1499343473.076	599	560	nan	nan	nan	1499343473.08	607	931
11	..PEG	1499343473.109	597	544	nan	nan	nan	1499343473.114	607	931
12	..PEG	1499343473.143	598	532	nan	nan	nan	1499343473.148	607	931
13	..PEG	1499343473.176	586	511	nan	nan	nan	1499343473.181	607	931
14	..PEG	1499343473.209	601	523	nan	nan	nan	1499343473.215	607	931
15	..PEG	1499343473.243	590	493	nan	nan	nan	1499343473.25	607	931
16	..PEG	1499343473.276	590	484	nan	nan	nan	1499343473.284	607	931
17	..PEG	1499343473.309	595	480	nan	nan	nan	1499343473.318	607	931
18	..PEG	1499343473.343	596	473	nan	nan	nan	1499343473.352	607	931
19	..PEG	1499343473.376	601	477	nan	nan	nan	1499343473.386	574	931
20	..PEG	1499343473.409	610	475	nan	nan	nan	1499343473.419	570	931
21	..PEG	1499343473.442	592	528	nan	nan	nan	1499343473.453	564	931
22	..PEG	1499343473.476	614	825	nan	nan	nan	1499343473.486	559	931
23	..PEG	1499343473.509	593	881	nan	nan	nan	1499343473.52	555	931
24	..PEG	1499343473.542	586	885	nan	nan	nan	1499343473.553	553	931
25	..PEG	1499343473.575	584	893	nan	nan	nan	1499343473.587	553	931
26	..PEG	1499343473.609	570	894	nan	nan	nan	1499343473.621	552	931
27	..PEG	1499343473.642	589	887	nan	nan	nan	1499343473.655	549	931
28	..PEG	1499343473.675	564	889	nan	nan	nan	1499343473.689	540	931
29	..PEG	1499343473.709	510	839	nan	nan	nan	1499343473.724	518	931
30	..PEG	1499343473.742	566	487	nan	nan	nan	1499343473.759	506	931
31	..PEG	1499343473.776	608	401	nan	nan	nan	1499343473.792	492	931
32	..PEG	1499343473.809	611	406	nan	nan	nan	1499343473.826	483	931
33	..PEG	1499343473.842	605	397	nan	nan	nan	1499343473.859	482	931
34	..PEG	1499343473.875	587	402	nan	nan	nan	1499343473.892	493	931
35	..PEG	1499343473.908	608	401	nan	nan	nan	1499343473.926	505	931
36	..PEG	1499343473.942	597	430	nan	nan	nan	1499343473.96	520	931
37	..PEG	1499343473.975	595	399	nan	nan	nan	1499343473.993	547	931
38	..PEG	1499343474.008	690	397	nan	nan	nan	1499343474.027	584	931
39	..PEG	1499343474.042	810	458	nan	nan	nan	1499343474.06	589	931
40	..PEG	1499343474.075	801	437	nan	nan	nan	1499343474.094	589	931
41	..PEG	1499343474.108	812	460	nan	nan	nan	1499343474.128	589	931
42	..PEG	1499343474.142	822	432	nan	nan	nan	1499343474.162	589	931
43	..PEG	1499343474.175	825	442	nan	nan	nan	1499343474.196	589	931
44	..PEG	1499343474.208	805	423	nan	nan	nan	1499343474.23	590	931
45	..PEG	1499343474.242	810	449	nan	nan	nan	1499343474.264	606	931
46	..PEG	1499343474.275	818	444	nan	nan	nan	1499343474.298	631	931
47	..PEG	1499343474.308	649	788	nan	nan	nan	1499343474.332	640	931
48	..PEG	1499343474.342	654	947	nan	nan	nan	1499343474.366	640	931
