	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..PEG	1498652834.640	682	396	nan	nan	nan	1498652849.395	658	931
1	..PEG	1498652834.674	679	396	nan	nan	nan	1498652849.419	668	931
2	..PEG	1498652834.707	684	385	nan	nan	nan	1498652849.437	668	931
3	..PEG	1498652834.740	683	386	nan	nan	nan	1498652849.457	668	931
4	..PEG	1498652834.773	680	375	nan	nan	nan	1498652849.478	668	931
5	..PEG	1498652834.807	679	383	nan	nan	nan	1498652849.499	668	931
6	..PEG	1498652834.840	683	392	nan	nan	nan	1498652849.521	668	931
7	..PEG	1498652834.873	676	388	nan	nan	nan	1498652849.54	668	931
8	..PEG	1498652834.907	676	386	nan	nan	nan	1498652849.561	668	931
9	..PEG	1498652834.940	670	381	nan	nan	nan	1498652849.582	668	931
10	..PEG	1498652834.973	672	386	nan	nan	nan	1498652849.609	668	931
11	..PEG	1498652835.007	679	382	nan	nan	nan	1498652849.631	668	931
12	..PEG	1498652835.040	679	375	nan	nan	nan	1498652849.65	668	931
13	..PEG	1498652835.073	668	381	nan	nan	nan	1498652849.672	668	931
14	..PEG	1498652835.107	677	366	nan	nan	nan	1498652849.698	668	931
15	..PEG	1498652835.140	673	389	nan	nan	nan	1498652849.723	668	931
16	..PEG	1498652835.173	671	375	nan	nan	nan	1498652849.75	668	931
17	..PEG	1498652835.206	673	380	nan	nan	nan	1498652849.776	668	931
18	..PEG	1498652835.240	677	367	nan	nan	nan	1498652849.789	668	931
19	..PEG	1498652835.273	672	384	nan	nan	nan	1498652849.81	668	931
20	..PEG	1498652835.306	672	394	nan	nan	nan	1498652849.831	668	931
21	..PEG	1498652835.340	673	384	nan	nan	nan	1498652849.86	663	931
22	..PEG	1498652835.373	672	380	nan	nan	nan	1498652849.887	659	931
23	..PEG	1498652835.406	677	384	nan	nan	nan	1498652849.915	656	931
24	..PEG	1498652835.440	700	379	nan	nan	nan	1498652849.936	652	931
25	..PEG	1498652835.473	691	371	nan	nan	nan	1498652849.956	647	931
26	..PEG	1498652835.506	690	361	nan	nan	nan	1498652849.983	643	931
27	..PEG	1498652835.540	694	365	nan	nan	nan	1498652850.009	643	931
28	..PEG	1498652835.573	689	362	nan	nan	nan	1498652850.038	643	931
29	..PEG	1498652835.606	688	360	nan	nan	nan	1498652850.065	643	931
30	..PEG	1498652835.640	687	361	nan	nan	nan	1498652850.085	642	931
31	..PEG	1498652835.673	691	350	nan	nan	nan	1498652850.106	641	931
32	..PEG	1498652835.706	689	353	nan	nan	nan	1498652850.127	641	931
33	..PEG	1498652835.739	688	369	nan	nan	nan	1498652850.154	641	931
34	..PEG	1498652835.773	692	360	nan	nan	nan	1498652850.173	641	931
35	..PEG	1498652835.806	688	379	nan	nan	nan	1498652850.194	641	931
36	.F...	1498652835.839			nan	nan	nan	1498652850.214	641	931
37	..P..	1498652835.873			nan	nan	nan	1498652850.236	641	931
38	..P..	1498652835.906			nan	nan	nan	1498652850.256	641	931
39	..PEG	1498652835.939	759	514	nan	nan	nan	1498652850.276	641	931
40	..PEG	1498652835.973	750	339	nan	nan	nan	1498652850.298	641	931
41	..PEG	1498652836.006	750	343	nan	nan	nan	1498652850.318	641	931
42	..PEG	1498652836.039	752	331	nan	nan	nan	1498652850.339	641	931
43	..PEG	1498652836.073	758	331	nan	nan	nan	1498652850.361	641	931
44	..PEG	1498652836.106	759	328	nan	nan	nan	1498652850.381	641	931
45	..PEG	1498652836.139	758	332	nan	nan	nan	1498652850.403	641	931
46	..PEG	1498652836.172	765	332	nan	nan	nan	1498652850.598	652	931
47	..PEG	1498652836.206	759	298	nan	nan	nan	1498652850.637	667	931
48	..PEG	1498652836.239	756	104	nan	nan	nan	1498652850.655	675	931
49	..PEG	1498652836.272	761	114	nan	nan	nan	1498652850.674	688	931
50	..PEG	1498652836.306	759	120	nan	nan	nan	1498652850.696	707	931
51	..PEG	1498652836.339	766	120	nan	nan	nan	1498652850.716	720	931
52	..PEG	1498652836.372	766	127	nan	nan	nan	1498652850.737	736	931
53	..PEG	1498652836.405	770	294	nan	nan	nan	1498652850.757	744	931
54	..PEG	1498652836.439	768	309	nan	nan	nan	1498652850.779	754	931
55	..PEG	1498652836.472	780	309	nan	nan	nan	1498652850.801	764	931
56	..PEG	1498652836.506	774	302	nan	nan	nan	1498652850.821	770	931
57	..PEG	1498652836.539	777	325	nan	nan	nan	1498652850.843	778	931
58	..PEG	1498652836.572	817	439	nan	nan	nan	1498652850.863	783	931
59	..PEG	1498652836.605	832	712	nan	nan	nan	1498652850.884	789	931
60	..PEG	1498652836.639	831	706	nan	nan	nan	1498652850.904	791	931
61	..PEG	1498652836.672	826	711	nan	nan	nan	1498652850.924	794	931
62	..PEG	1498652836.705	830	709	nan	nan	nan	1498652850.946	797	931
63	..PEG	1498652836.739	832	710	nan	nan	nan	1498652850.966	798	931
64	..PEG	1498652836.772	835	711	nan	nan	nan	1498652850.988	802	931
65	..PEG	1498652836.805	830	721	nan	nan	nan	1498652851.011	804	931
66	..PEG	1498652836.839	836	701	nan	nan	nan	1498652851.04	804	931
67	..PEG	1498652836.872	835	693	nan	nan	nan	1498652851.068	804	931
68	..PEG	1498652836.905	838	707	nan	nan	nan	1498652851.081	802	931
69	..PEG	1498652836.939	842	696	nan	nan	nan	1498652851.103	799	931
70	..PEG	1498652836.972	837	681	nan	nan	nan	1498652851.123	794	931
71	..PEG	1498652837.005	843	577	nan	nan	nan	1498652851.145	785	931
72	..PEG	1498652837.039	844	566	nan	nan	nan	1498652851.165	779	931
73	..PEG	1498652837.072	833	571	nan	nan	nan	1498652851.185	771	931
74	..PEG	1498652837.105	838	570	nan	nan	nan	1498652851.205	766	931
75	..PEG	1498652837.138	846	573	nan	nan	nan	1498652851.227	757	931
76	..PEG	1498652837.172	848	567	nan	nan	nan	1498652851.251	744	931
77	..PEG	1498652837.205	844	577	nan	nan	nan	1498652851.278	729	931
78	..PEG	1498652837.239	851	580	nan	nan	nan	1498652851.292	720	931
79	..PEG	1498652837.272	861	631	nan	nan	nan	1498652851.312	706	931
80	..PEG	1498652837.305	889	943	nan	nan	nan	1498652851.333	698	931
81	..PEG	1498652837.338	891	949	nan	nan	nan	1498652851.354	683	931
82	..PEG	1498652837.372	892	944	nan	nan	nan	1498652851.375	670	931
83	..PEG	1498652837.405	895	933	nan	nan	nan	1498652851.397	649	931
84	..PEG	1498652837.438	898	946	nan	nan	nan	1498652851.421	628	931
85	..PEG	1498652837.472	895	931	nan	nan	nan	1498652851.459	590	931
86	..PEG	1498652837.505	889	891	nan	nan	nan	1498652851.488	561	931
87	..PEG	1498652837.538	895	887	nan	nan	nan	1498652851.509	551	931
88	..PEG	1498652837.571	888	887	nan	nan	nan	1498652851.524	543	931
89	..PEG	1498652837.605	884	885	nan	nan	nan	1498652851.546	536	931
90	..PEG	1498652837.638	890	882	nan	nan	nan	1498652851.567	530	931
91	..PEG	1498652837.671	894	887	nan	nan	nan	1498652851.591	521	931
92	..PEG	1498652837.705	889	890	nan	nan	nan	1498652851.611	513	931
93	..PEG	1498652837.738	892	883	nan	nan	nan	1498652851.634	508	931
94	..PEG	1498652837.771	898	902	nan	nan	nan	1498652851.655	506	931
95	..PEG	1498652837.805	894	891	nan	nan	nan	1498652851.673	502	931
96	..PEG	1498652837.838	885	890	nan	nan	nan	1498652851.702	494	931
97	..PEG	1498652837.871	889	899	nan	nan	nan	1498652851.722	482	931
98	..PEG	1498652837.904	904	888	nan	nan	nan	1498652851.749	474	931
99	..PEG	1498652837.938	900	884	nan	nan	nan	1498652851.764	467	931
100	..PEG	1498652837.971	899	884	nan	nan	nan	1498652851.785	456	931
101	..PEG	1498652838.004	894	890	nan	nan	nan	1498652851.804	447	931
102	..PEG	1498652838.038	885	883	nan	nan	nan	1498652851.836	435	931
103	..PEG	1498652838.071	890	874	nan	nan	nan	1498652851.855	431	931
104	..PEG	1498652838.104	890	887	nan	nan	nan	1498652851.875	425	931
105	..PEG	1498652838.137	884	889	nan	nan	nan	1498652851.898	417	931
106	..PEG	1498652838.171	831	770	nan	nan	nan	1498652851.929	410	931
107	..PEG	1498652838.204	689	399	nan	nan	nan	1498652851.947	410	931
108	..PEG	1498652838.237	683	379	nan	nan	nan	1498652851.982	408	931
109	..PEG	1498652838.271	675	396	nan	nan	nan	1498652852.005	404	931
110	..PEG	1498652838.304	676	387	nan	nan	nan	1498652852.025	400	931
111	..PEG	1498652838.338	680	390	nan	nan	nan	1498652852.045	397	931
112	..PEG	1498652838.371	685	379	nan	nan	nan	1498652852.078	382	931
113	..PEG	1498652838.404	687	387	nan	nan	nan	1498652852.098	361	931
114	..PEG	1498652838.438	681	398	nan	nan	nan	1498652852.119	349	931
115	..PEG	1498652838.471	671	391	nan	nan	nan	1498652852.158	334	931
116	..PEG	1498652838.504	677	387	nan	nan	nan	1498652852.179	334	931
117	..PEG	1498652838.538	684	385	nan	nan	nan	1498652852.208	334	931
118	..PEG	1498652838.571	675	386	nan	nan	nan	1498652852.23	334	931
119	..PEG	1498652838.604	703	287	nan	nan	nan	1498652852.251	334	931
120	..PEG	1498652838.637	712	286	nan	nan	nan	1498652852.272	334	931
