	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..PEG	1499088030.381	1277	-12	nan	nan	nan	1499088048.283	1072	931
1	..PEG	1499088030.414	1278	-10	nan	nan	nan	1499088048.289	990	931
2	..PEG	1499088030.447	1280	-9	nan	nan	nan	1499088048.322	990	931
3	..PEG	1499088030.481	1275	-8	nan	nan	nan	1499088048.355	990	931
4	..PEG	1499088030.514	1274	2	nan	nan	nan	1499088048.389	990	931
5	..PEG	1499088030.547	1272	1	nan	nan	nan	1499088048.422	990	931
6	..PEG	1499088030.581	1271	6	nan	nan	nan	1499088048.457	990	931
7	..PEG	1499088030.614	1275	132	nan	nan	nan	1499088048.49	990	931
8	..PEG	1499088030.647	1183	365	nan	nan	nan	1499088048.524	990	931
9	..PEG	1499088030.680	1185	372	nan	nan	nan	1499088048.557	990	931
10	..PEG	1499088030.713	1179	374	nan	nan	nan	1499088048.591	990	931
11	..PEG	1499088030.747	1171	382	nan	nan	nan	1499088048.624	990	931
12	..PEG	1499088030.780	1173	379	nan	nan	nan	1499088048.659	990	931
13	..PEG	1499088030.813	1174	383	nan	nan	nan	1499088048.692	986	931
14	..PEG	1499088030.847	1170	389	nan	nan	nan	1499088048.726	956	931
15	..PEG	1499088030.880	1172	393	nan	nan	nan	1499088048.759	912	931
16	..PEG	1499088030.913	1169	396	nan	nan	nan	1499088048.793	869	931
17	..PEG	1499088030.947	1163	397	nan	nan	nan	1499088048.827	825	931
18	..PEG	1499088030.980	1163	397	nan	nan	nan	1499088048.861	773	931
19	..PEG	1499088031.013	1159	397	nan	nan	nan	1499088048.894	697	931
20	..PEG	1499088031.046	1162	400	nan	nan	nan	1499088048.928	650	931
21	..PEG	1499088031.080	1153	405	nan	nan	nan	1499088048.963	620	931
22	..PEG	1499088031.113	1147	413	nan	nan	nan	1499088048.995	608	931
23	..PEG	1499088031.147	1124	613	nan	nan	nan	1499088049.027	599	931
24	..PEG	1499088031.180	1118	821	nan	nan	nan	1499088049.061	579	931
25	..PEG	1499088031.213	1108	874	nan	nan	nan	1499088049.095	535	931
