	GazeState	Tgaze	Xgaze	Ygaze	Tball	Xball	Yball	Tpaddle	Xpaddle	Ypaddle
0	..PEG	1499090266.484	824	923	nan	nan	nan	1499090296.867	115	931
1	..PEG	1499090266.517	843	902	nan	nan	nan	1499090296.873	118	931
2	..PEG	1499090266.551	851	905	nan	nan	nan	1499090296.906	118	931
3	..PEG	1499090266.584	847	909	nan	nan	nan	1499090296.939	149	931
4	..PEG	1499090266.618	849	916	nan	nan	nan	1499090296.973	187	931
5	..PEG	1499090266.651	838	933	nan	nan	nan	1499090297.008	204	931
6	..PEG	1499090266.684	852	916	nan	nan	nan	1499090297.04	209	931
7	..PEG	1499090266.718	837	933	nan	nan	nan	1499090297.074	220	931
8	..PEG	1499090266.751	854	921	nan	nan	nan	1499090297.107	233	931
9	..PEG	1499090266.784	850	928	nan	nan	nan	1499090297.14	243	931
10	..PEG	1499090266.817	870	924	nan	nan	nan	1499090297.174	252	931
11	..PEG	1499090266.851	855	941	nan	nan	nan	1499090297.208	260	931
12	..PEG	1499090266.884	867	940	nan	nan	nan	1499090297.242	268	931
13	..PEG	1499090266.917	864	933	nan	nan	nan	1499090297.276	278	931
14	..PEG	1499090266.951	878	914	nan	nan	nan	1499090297.31	293	931
15	..PEG	1499090266.984	883	935	nan	nan	nan	1499090297.343	303	931
16	..PEG	1499090267.017	834	918	nan	nan	nan	1499090297.376	312	931
17	..PEG	1499090267.050	932	939	nan	nan	nan	1499090297.409	320	931
18	..PEG	1499090267.084	895	940	nan	nan	nan	1499090297.442	340	931
19	..PEG	1499090267.117	879	952	nan	nan	nan	1499090297.476	371	931
20	..PEG	1499090267.151	876	954	nan	nan	nan	1499090297.51	398	931
21	..PEG	1499090267.184	864	953	nan	nan	nan	1499090297.544	417	931
22	..PEG	1499090267.217	893	940	nan	nan	nan	1499090297.578	420	931
23	..PEG	1499090267.250	878	975	nan	nan	nan	1499090297.611	441	931
24	..PEG	1499090267.283	868	954	nan	nan	nan	1499090297.645	483	931
25	..PEG	1499090267.317	884	968	nan	nan	nan	1499090297.678	526	931
26	..PEG	1499090267.350	885	973	nan	nan	nan	1499090297.712	558	931
27	..PEG	1499090267.384	897	950	nan	nan	nan	1499090297.746	566	931
28	..PEG	1499090267.417	899	959	nan	nan	nan	1499090297.78	568	931
29	..PEG	1499090267.450	887	953	nan	nan	nan	1499090297.814	569	931
30	..PEG	1499090267.484	912	890	nan	nan	nan	1499090297.847	569	931
31	..PEG	1499090267.517	895	896	nan	nan	nan	1499090297.881	569	931
32	..PEG	1499090267.550	960	866	nan	nan	nan	1499090297.915	569	931
33	..PEG	1499090267.583	958	875	nan	nan	nan	1499090297.949	569	931
34	..PEG	1499090267.616	932	837	nan	nan	nan	1499090297.984	565	931
35	..PEG	1499090267.650	905	845	nan	nan	nan	1499090298.017	551	931
36	..PEG	1499090267.683	892	831	nan	nan	nan	1499090298.051	539	931
37	..PEG	1499090267.717	956	625	nan	nan	nan	1499090298.086	532	931
38	..P..	1499090267.750			nan	nan	nan	1499090298.119	529	931
39	..P..	1499090267.783			nan	nan	nan	1499090298.153	520	931
40	..P..	1499090267.817			nan	nan	nan	1499090298.186	507	931
41	..P..	1499090267.850			nan	nan	nan	1499090298.221	504	931
42	..P..	1499090267.883			nan	nan	nan	1499090298.253	504	931
43	..P..	1499090267.916			nan	nan	nan	1499090298.288	504	931
44	..P..	1499090267.950			nan	nan	nan	1499090298.321	504	931
45	..P..	1499090267.983			nan	nan	nan	1499090298.355	504	931
46	..P..	1499090268.016			nan	nan	nan	1499090298.389	504	931
47	..P..	1499090268.049			nan	nan	nan	1499090298.423	496	931
48	..PEG	1499090268.083	820	189	nan	nan	nan	1499090298.457	483	931
49	..PEG	1499090268.116	832	181	nan	nan	nan	1499090298.49	475	931
50	..PEG	1499090268.149	847	146	nan	nan	nan	1499090298.524	475	931
51	..PEG	1499090268.183	855	142	nan	nan	nan	1499090298.559	475	931
52	..PEG	1499090268.216	845	148	nan	nan	nan	1499090298.591	475	931
53	..PEG	1499090268.249	857	147	nan	nan	nan	1499090298.626	475	931
54	..PEG	1499090268.283	849	144	nan	nan	nan	1499090298.66	475	931
55	..PEG	1499090268.316	862	145	nan	nan	nan	1499090298.693	475	931
56	..PEG	1499090268.349	856	152	nan	nan	nan	1499090298.727	475	931
57	..PEG	1499090268.383	845	137	nan	nan	nan	1499090298.761	475	931
58	..PEG	1499090268.416	849	141	nan	nan	nan	1499090298.795	475	931
59	..PEG	1499090268.449	851	138	nan	nan	nan	1499090298.829	475	931
60	..PEG	1499090268.483	792	146	nan	nan	nan	1499090298.864	475	931
61	..PEG	1499090268.516	789	156	nan	nan	nan	1499090298.898	475	931
62	..PEG	1499090268.549	787	153	nan	nan	nan	1499090298.93	475	931
63	..PEG	1499090268.583	792	145	nan	nan	nan	1499090298.964	475	931
64	..PEG	1499090268.616	784	160	nan	nan	nan	1499090298.996	475	931
65	..PEG	1499090268.649	784	153	nan	nan	nan	1499090299.029	475	931
66	..PEG	1499090268.683	791	157	nan	nan	nan	1499090299.064	475	931
67	..PEG	1499090268.716	791	151	nan	nan	nan	1499090299.096	475	931
68	..PEG	1499090268.749	779	155	nan	nan	nan	1499090299.129	475	931
69	..PEG	1499090268.782	778	150	1499090299.163	480	918	1499090299.163	475	931
70	..PEG	1499090268.816	768	163	1499090299.196	480	902	1499090299.196	475	931
71	..PEG	1499090268.849	780	144	1499090299.229	481	886	1499090299.229	475	931
72	..PEG	1499090268.883	767	161	1499090299.263	482	870	1499090299.263	475	931
73	..PEG	1499090268.916	772	156	1499090299.297	483	854	1499090299.297	475	931
